,age_min,age_max,wife_ed_min,wife_ed_max,husb_ed_min,husb_ed_max,no_kids_min,no_kids_max,wife_rel_min,wife_rel_max,wife_works_min,wife_works_max,husb_occupation_min,husb_occupation_max,SOL_index_min,SOL_index_max,media_exp_min,media_exp_max,class
0,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
1,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
2,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
3,33,49,1,3,1,2,6,16,0,1,0,1,1,4,1,3,0,1,1
4,33,49,1,3,3,3,6,16,0,1,0,1,1,4,1,3,0,1,1
5,16,32,4,4,1,4,0,2,0,1,0,1,3,4,1,4,0,1,1
6,33,49,1,3,3,3,6,16,0,1,0,1,1,4,1,3,0,1,1
7,16,32,3,3,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
8,16,32,1,3,1,3,3,16,0,1,0,1,1,4,4,4,0,1,1
9,33,49,1,3,1,2,6,16,0,1,0,1,1,4,1,3,0,1,1
10,33,38,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
11,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
12,40,49,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
13,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
14,33,38,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
15,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
16,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
17,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
18,33,49,1,3,1,2,6,16,0,1,0,1,1,4,1,3,0,1,1
19,33,41,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
20,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
21,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
22,40,49,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
23,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
24,33,49,4,4,1,4,5,16,0,1,0,1,1,1,1,4,0,1,1
25,33,49,1,3,4,4,5,16,0,1,0,1,1,4,1,4,0,1,1
26,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
27,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
28,16,25,4,4,1,4,0,2,0,1,0,1,2,2,1,4,0,1,1
29,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
30,16,32,1,3,4,4,0,2,0,1,0,1,1,4,4,4,0,1,1
31,16,32,4,4,1,4,0,2,0,1,0,1,3,4,1,4,0,1,1
32,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
33,33,38,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
34,16,32,1,2,1,3,0,2,0,1,0,1,1,4,3,4,0,1,1
35,33,49,1,3,3,3,6,16,0,1,0,1,1,4,1,3,0,1,1
36,33,49,1,3,1,2,6,16,0,1,0,1,1,4,1,3,0,1,1
37,16,32,3,3,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
38,39,49,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
39,16,32,1,2,1,3,0,2,0,1,0,1,1,4,3,4,0,1,1
40,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
41,42,49,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
42,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
43,40,49,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
44,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
45,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
46,26,32,4,4,1,4,0,2,0,1,1,1,1,2,1,4,0,1,1
47,33,49,4,4,1,4,0,4,0,1,0,1,2,2,1,4,0,1,1
48,26,32,4,4,1,4,0,2,0,1,1,1,1,2,1,4,0,1,1
49,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
50,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
51,33,49,4,4,1,4,5,16,0,1,0,1,2,4,1,4,0,1,1
52,33,49,1,3,4,4,5,16,0,1,0,1,1,4,1,4,0,1,1
53,33,49,4,4,1,4,0,4,0,1,0,1,2,2,1,4,0,1,1
54,33,49,1,3,4,4,5,16,0,1,0,1,1,4,1,4,0,1,1
55,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
56,33,49,4,4,1,4,5,16,0,1,0,1,1,1,1,4,0,1,1
57,33,49,1,3,4,4,5,16,0,1,0,1,1,4,1,4,0,1,1
58,16,32,1,2,1,3,0,2,0,1,0,1,1,4,3,4,0,1,1
59,33,49,4,4,1,4,5,16,0,1,0,1,1,1,1,4,0,1,1
60,33,49,1,3,3,3,6,16,0,1,0,1,1,4,1,3,0,1,1
61,16,32,1,2,1,3,0,2,0,1,0,1,1,4,3,4,0,1,1
62,42,49,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
63,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
64,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
65,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
66,33,49,4,4,1,4,5,16,0,1,0,1,2,4,1,4,0,1,1
67,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
68,16,32,1,3,4,4,0,2,0,1,0,1,1,4,4,4,0,1,1
69,16,32,4,4,1,4,0,2,0,1,0,1,3,4,1,4,0,1,1
70,42,49,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
71,33,49,1,3,1,3,6,16,0,1,0,1,1,4,4,4,0,1,1
72,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
73,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
74,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
75,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
76,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
77,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
78,33,38,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
79,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
80,16,25,4,4,1,4,0,2,0,1,0,1,1,1,1,4,0,1,1
81,33,49,4,4,1,4,5,16,0,1,0,1,1,1,1,4,0,1,1
82,16,32,1,3,4,4,0,2,0,1,0,1,1,4,4,4,0,1,1
83,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
84,26,32,4,4,1,4,0,2,0,1,1,1,1,2,1,4,0,1,1
85,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
86,16,25,4,4,1,4,0,2,0,1,0,1,1,1,1,4,0,1,1
87,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
88,16,32,1,3,4,4,3,16,0,1,0,1,1,4,4,4,0,1,1
89,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
90,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
91,33,49,1,3,4,4,5,16,0,1,0,1,1,4,1,4,0,1,1
92,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
93,33,38,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
94,42,49,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
95,33,49,1,3,3,3,6,16,0,1,0,1,1,4,1,3,0,1,1
96,33,41,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
97,16,29,4,4,1,4,3,16,0,1,0,1,1,4,1,4,0,1,1
98,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
99,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
100,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
101,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
102,16,32,1,3,4,4,3,16,0,1,0,1,1,4,1,3,0,1,1
103,16,29,4,4,1,4,3,16,0,1,0,1,1,4,1,4,0,1,1
104,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
105,39,49,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
106,16,25,4,4,1,4,0,2,0,1,0,1,1,1,1,4,0,1,1
107,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
108,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
109,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
110,33,49,4,4,1,4,0,4,0,1,0,1,3,4,1,4,0,1,1
111,16,32,3,3,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
112,16,25,4,4,1,4,0,2,0,1,0,1,1,1,1,4,0,1,1
113,16,32,1,2,1,3,3,16,0,1,0,1,1,4,1,3,0,1,1
114,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
115,33,39,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
116,33,49,4,4,1,4,0,4,0,1,0,1,3,4,1,4,0,1,1
117,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
118,33,49,4,4,1,4,5,16,0,1,0,1,2,4,1,4,0,1,1
119,16,32,1,2,1,3,0,2,0,1,0,1,1,4,3,4,0,1,1
120,33,41,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
121,33,41,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
122,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
123,16,32,1,2,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
124,39,49,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
125,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
126,40,49,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
127,33,38,1,3,1,3,0,5,0,1,0,1,3,4,1,4,0,1,1
128,42,49,1,3,1,3,0,5,0,1,0,1,1,2,1,4,0,1,1
129,16,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
130,39,49,1,3,4,4,0,4,0,1,0,1,1,4,1,4,0,1,1
131,26,32,4,4,1,4,0,2,0,1,0,0,1,2,1,4,0,1,1
132,33,49,1,3,1,2,6,16,0,1,0,1,1,4,1,3,0,1,1
133,26,32,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
134,26,32,4,4,1,4,0,2,0,1,1,1,1,2,1,4,0,1,1
135,16,32,1,3,1,3,3,16,0,1,0,1,1,4,4,4,0,1,1
136,16,32,4,4,1,4,0,2,0,1,0,1,3,4,1,4,0,1,1
