0,(37.0:100.0),[0.0:3.0],[0.0:174524.0],(9.0:15.0],(3.0:6.0],[0.0:8.0],[0.0:0.0],[0.0:0.0],(0.0:100000.0),[0:4357),[0:100],[0:39],0
1,(45.0:50.0],(3.0:6.0],[0.0:163352.0],(9.0:15.0],[0.0:0.0],(5.0:7.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:50.0],[0:39],0
2,(37.0:41.0],[0.0:3.0],(174524.0:230979.0],[0.0:8.0],(0.0:3.0],[0.0:5.0],[0.0:0.0],[0:1],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
3,(47.0:55.0],[0.0:3.0],(174524.0:256647.0],[0.0:9.0],[0.0:0.0],[0.0:5.0],(0.0:1.0],[0:1],[0.0:0.0],[0:4357),[0.0:40.0],[0:39],0
4,[0.0:37.0],[0.0:3.0],(185582.0:1500000.0),(9.0:15.0],[0:6],[0.0:8.0],(0.0:1.0],[0:1],[0:100000),[0:4357),[0.0:40.0],(0.0:39.0],0
5,[0.0:37.0],[0.0:3.0],(234500.0:311376.0],(9.0:15.0],[0:6],(6.0:7.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
6,(47.0:54.0],[0.0:3.0],[0.0:174524.0],[0.0:9.0],(0.0:3.0],(6.0:13.0],(0.0:1.0],[0:1],[0:100000),[0:4357),[0:100],[0:39],0
7,(46.0:100.0),(3.0:6.0],(204402.0:246739.0],[0.0:9.0],[0.0:0.0],[0.0:7.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:100.0],[0:39],1
8,(28.0:37.0],[0.0:3.0],[0.0:185582.0],(9.0:15.0],(5.0:6.0],[0.0:8.0],[0.0:0.0],(0.0:1.0],(0.0:100000.0),[0:4357),[0:100],[0:39],1
9,(37.0:47.0],[0.0:3.0],(122493.0:174524.0],(9.0:15.0],[0.0:0.0],[0.0:8.0],[0.0:0.0],[0.0:0.0],(0.0:7688.0],[0:4357),[0.0:40.0],[0:39],1
10,[0.0:37.0],[0.0:3.0],(185582.0:280464.0],[0.0:9.0],[0:6],(6.0:13.0],(0.0:1.0],[0:1],[0.0:0.0],[0:4357),(40.0:100.0],[0:39],1
11,[0.0:32.0],[0.0:3.0],[0.0:185582.0],(9.0:15.0],[0.0:5.0],[0.0:8.0],(0.0:4.0],[0.0:0.0],[0:100000),[0:4357),[0.0:40.0],[0.0:17.0],1
12,[0.0:23.0],[0.0:3.0],[0.0:185582.0],(11.0:15.0],(5.0:6.0],[0.0:6.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
13,[0.0:37.0],[0.0:3.0],(185582.0:1500000.0),(9.0:15.0],[0:6],(8.0:13.0],(0.0:1.0],[0.0:0.0],[0:100000),[0:4357),(40.0:100.0],[0:39],0
14,[0.0:37.0],[0.0:3.0],(185582.0:245487.0],[0.0:9.0],[0.0:4.0],[0.0:6.0],(1.0:4.0],[0:1],[0:100000),[0:4357),[0:100],[0.0:6.0],0
