,A0_min,A0_max,A1_min,A1_max,A2_min,A2_max,A3_min,A3_max,A4_min,A4_max,A5_min,A5_max,A6_min,A6_max,A7_min,A7_max,A8_min,A8_max,A9_min,A9_max,A10_min,A10_max,A11_min,A11_max,A12_min,A12_max,A13_min,A13_max,A14_min,A14_max,A15_min,A15_max,A16_min,A16_max,A17_min,A17_max,A18_min,A18_max,A19_min,A19_max,class
0,849,849,2177,2177,598,598,1689,1689,3114,3114,-3406,-3406,3799,3799,-2642,-2642,1578,1578,-181,-181,-212,-212,1633,1633,4664,4664,1081,1081,-1172,-1172,-166,-166,578,578,1664,1664,309,309,-3028,-3028,0
1,947,947,543,543,782,782,-449,-449,-8,-8,1316,1316,756,756,-61,-61,1604,1604,1686,1686,264,264,-382,-382,1259,1259,608,608,-2292,-2292,1008,1008,2687,2687,-1422,-1422,-606,-606,2374,2374,1
2,759,759,-314,-314,898,898,-1743,-1743,2003,2003,1117,1117,911,911,136,136,-489,-489,-144,-144,982,982,112,112,598,598,474,474,2026,2026,1431,1431,-336,-336,79,79,1123,1123,302,302,1
3,531,531,1374,1374,517,517,1226,1226,1122,1122,-4,-4,-1227,-1227,2277,2277,1083,1083,888,888,-111,-111,1063,1063,2454,2454,587,587,-744,-744,1216,1216,916,916,-476,-476,6,6,-477,-477,1
4,-1443,-1443,1065,1065,2071,2071,207,207,-865,-865,-786,-786,2655,2655,-366,-366,971,971,-341,-341,221,221,4195,4195,-117,-117,-2694,-2694,14,14,4097,4097,1356,1356,-944,-944,-602,-602,2348,2348,0
5,-258,-258,-4696,-4696,-519,-519,6469,6469,-1878,-1878,-557,-557,-62,-62,5572,5572,-62,-62,1813,1813,499,499,1299,1299,-1926,-1926,61,61,-2941,-2941,-1953,-1953,-1007,-1007,-1042,-1042,1835,1835,-1196,-1196,0
6,-636,-636,-222,-222,-3034,-3034,688,688,1388,1388,-559,-559,412,412,1163,1163,1887,1887,4408,4408,-3277,-3277,1538,1538,222,222,-993,-993,412,412,114,114,314,314,1566,1566,-517,-517,-938,-938,0
7,1144,1144,346,346,77,77,112,112,146,146,1337,1337,174,174,23,23,1299,1299,-6,-6,-801,-801,-32,-32,398,398,-434,-434,1956,1956,109,109,-242,-242,1629,1629,-81,-81,-572,-572,1
8,1839,1839,3036,3036,-11,-11,394,394,188,188,-503,-503,762,762,-682,-682,2188,2188,693,693,1115,1115,1662,1662,619,619,951,951,1568,1568,76,76,638,638,51,51,41,41,837,837,1
9,-656,-656,-1706,-1706,4477,4477,-293,-293,-432,-432,1934,1934,2013,2013,672,672,1193,1193,-277,-277,2025,2025,1305,1305,-2008,-2008,179,179,-1327,-1327,1452,1452,-1402,-1402,-2894,-2894,-151,-151,126,126,0
10,-984,-984,792,792,831,831,21,21,1531,1531,1739,1739,2641,2641,105,105,554,554,-236,-236,-651,-651,605,605,2459,2459,-1611,-1611,1964,1964,-201,-201,-1229,-1229,-826,-826,-1822,-1822,1662,1662,1
11,-593,-593,878,878,-1045,-1045,843,843,-1907,-1907,-1038,-1038,861,861,-1764,-1764,487,487,2143,2143,481,481,952,952,939,939,782,782,1219,1219,-475,-475,1146,1146,221,221,-462,-462,-112,-112,1
12,1225,1225,2547,2547,-1182,-1182,4016,4016,-521,-521,-2396,-2396,-498,-498,-2936,-2936,-1105,-1105,6,6,-1953,-1953,-3867,-3867,1372,1372,-1267,-1267,403,403,-296,-296,-972,-972,114,114,2326,2326,1723,1723,0
13,345,345,-35,-35,-3081,-3081,2445,2445,-1016,-1016,671,671,-12,-12,471,471,143,143,594,594,-1295,-1295,2375,2375,-1081,-1081,195,195,244,244,-123,-123,-1711,-1711,-576,-576,2607,2607,3568,3568,0
14,697,697,1029,1029,-459,-459,-3736,-3736,-2565,-2565,3389,3389,-892,-892,-1674,-1674,-1966,-1966,-482,-482,-727,-727,-512,-512,-331,-331,717,717,1628,1628,155,155,-531,-531,-1083,-1083,124,124,-1507,-1507,0
15,-942,-942,259,259,-182,-182,5,5,158,158,-84,-84,1068,1068,1139,1139,474,474,57,57,414,414,175,175,1896,1896,2669,2669,1139,1139,5,5,252,252,1222,1222,1036,1036,-946,-946,1
16,1007,1007,242,242,1601,1601,1689,1689,-373,-373,-1713,-1713,2086,2086,74,74,965,965,2,2,-381,-381,-51,-51,-734,-734,-1066,-1066,-1293,-1293,692,692,1072,1072,-815,-815,-6,-6,274,274,1
17,366,366,3128,3128,-4531,-4531,-1283,-1283,3117,3117,-35,-35,1211,1211,-7,-7,859,859,-1906,-1906,-66,-66,-252,-252,1683,1683,1777,1777,-2568,-2568,-2011,-2011,1384,1384,-619,-619,4193,4193,-2332,-2332,0
18,261,261,1758,1758,-177,-177,-146,-146,-57,-57,-763,-763,1715,1715,1369,1369,461,461,2187,2187,446,446,-76,-76,112,112,1285,1285,-205,-205,1383,1383,-124,-124,-1022,-1022,2562,2562,-319,-319,1
19,-325,-325,183,183,2084,2084,42,42,931,931,2018,2018,57,57,614,614,106,106,-29,-29,-83,-83,-76,-76,503,503,1316,1316,192,192,634,634,-78,-78,1104,1104,666,666,823,823,1
20,903,903,-158,-158,-151,-151,857,857,1722,1722,-1657,-1657,4326,4326,817,817,878,878,-1484,-1484,2662,2662,1,1,-289,-289,-937,-937,1265,1265,591,591,-442,-442,-1687,-1687,-1546,-1546,2924,2924,0
21,-945,-945,195,195,1867,1867,-654,-654,-795,-795,489,489,-1381,-1381,-1931,-1931,-439,-439,-1563,-1563,-744,-744,217,217,-2765,-2765,1443,1443,-698,-698,98,98,2279,2279,-1372,-1372,-3388,-3388,191,191,0
22,626,626,2194,2194,994,994,1881,1881,724,724,-37,-37,1615,1615,805,805,709,709,1182,1182,117,117,1119,1119,-487,-487,-376,-376,-787,-787,1315,1315,727,727,-1318,-1318,1315,1315,-139,-139,1
23,2019,2019,-787,-787,2098,2098,557,557,1907,1907,-937,-937,-934,-934,284,284,255,255,2256,2256,-292,-292,-848,-848,795,795,-17,-17,2041,2041,2964,2964,-218,-218,1198,1198,77,77,-1256,-1256,1
24,2191,2191,68,68,452,452,52,52,916,916,1555,1555,736,736,-132,-132,1967,1967,-2404,-2404,1067,1067,1136,1136,1705,1705,203,203,-542,-542,547,547,-1279,-1279,589,589,-1062,-1062,-896,-896,1
25,2212,2212,-1694,-1694,-533,-533,67,67,-1763,-1763,9,9,-882,-882,1158,1158,-516,-516,1889,1889,-853,-853,-1129,-1129,-134,-134,-1822,-1822,303,303,-1829,-1829,-281,-281,3215,3215,-505,-505,-1286,-1286,0
26,1306,1306,909,909,504,504,594,594,118,118,-341,-341,14,14,-61,-61,12,12,133,133,1559,1559,-202,-202,2786,2786,3866,3866,3054,3054,261,261,-572,-572,-656,-656,745,745,-573,-573,1
27,449,449,985,985,837,837,-312,-312,4343,4343,94,94,-517,-517,-2368,-2368,-959,-959,896,896,-1683,-1683,-1285,-1285,-114,-114,-26,-26,1408,1408,-1306,-1306,-1231,-1231,1928,1928,-2833,-2833,-1164,-1164,0
28,2563,2563,-1449,-1449,1505,1505,-2023,-2023,-1027,-1027,2366,2366,556,556,-1954,-1954,4122,4122,2748,2748,-1536,-1536,3128,3128,-151,-151,-132,-132,721,721,2122,2122,-2611,-2611,-2612,-2612,-473,-473,68,68,0
29,-828,-828,3,3,1504,1504,-3182,-3182,-1667,-1667,25,25,-4599,-4599,-1431,-1431,-316,-316,-1546,-1546,-2734,-2734,-1772,-1772,1692,1692,-124,-124,4311,4311,-2008,-2008,4266,4266,-399,-399,-707,-707,-1995,-1995,0
30,1262,1262,518,518,2864,2864,-1292,-1292,-5078,-5078,-47,-47,313,313,417,417,-3454,-3454,-503,-503,2544,2544,1316,1316,1242,1242,-37,-37,-2825,-2825,198,198,1296,1296,-3698,-3698,1378,1378,2362,2362,0
31,1668,1668,1046,1046,-892,-892,1126,1126,1048,1048,576,576,61,61,-288,-288,2006,2006,1481,1481,722,722,1288,1288,384,384,902,902,1595,1595,-729,-729,437,437,-156,-156,1392,1392,-323,-323,1
32,1305,1305,204,204,-394,-394,953,953,222,222,-1443,-1443,5,5,1049,1049,1833,1833,-1816,-1816,2768,2768,-928,-928,-195,-195,1521,1521,3833,3833,-193,-193,1984,1984,33,33,-2919,-2919,-553,-553,0
33,-892,-892,1352,1352,634,634,35,35,506,506,1136,1136,-1563,-1563,25,25,-308,-308,-1812,-1812,606,606,34,34,978,978,258,258,24,24,146,146,1302,1302,142,142,23,23,718,718,1
34,568,568,1177,1177,2405,2405,65,65,-942,-942,71,71,3324,3324,-282,-282,-297,-297,-158,-158,-418,-418,1135,1135,1287,1287,512,512,-634,-634,-1552,-1552,327,327,-502,-502,-1106,-1106,-547,-547,1
35,4938,4938,-719,-719,-114,-114,-392,-392,-128,-128,-1174,-1174,-33,-33,-61,-61,-125,-125,3066,3066,-2004,-2004,-981,-981,1414,1414,-2735,-2735,199,199,1467,1467,178,178,-3348,-3348,-423,-423,3378,3378,0
36,-1163,-1163,-543,-543,1239,1239,446,446,-3732,-3732,-1951,-1951,166,166,-162,-162,1399,1399,-137,-137,-46,-46,72,72,-276,-276,-322,-322,1301,1301,-282,-282,-83,-83,1108,1108,2262,2262,1392,1392,0
