,A0_min,A0_max,A1_min,A1_max,A2_min,A2_max,A3_min,A3_max,A4_min,A4_max,A5_min,A5_max,A6_min,A6_max,A7_min,A7_max,A8_min,A8_max,A9_min,A9_max,A10_min,A10_max,A11_min,A11_max,A12_min,A12_max,A13_min,A13_max,A14_min,A14_max,A15_min,A15_max,A16_min,A16_max,A17_min,A17_max,A18_min,A18_max,A19_min,A19_max,class
0,160,6285,162,6921,196,7611,168,7149,217,6383,-6946,152,82,6285,-6882,421,640,7487,-7232,147,-7803,452,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
1,160,6285,162,6921,196,7611,-6627,167,-7184,145,218,6743,457,6285,-6882,172,-1,7487,43,6757,-7803,643,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
2,160,6285,-7141,161,153,7611,-6627,195,218,6383,163,6743,98,6285,-6882,473,-7184,289,-7232,464,387,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
3,160,6285,162,6921,196,7611,168,7149,217,6383,-6946,152,-7781,81,197,6357,248,7487,347,6757,-7803,-111,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
4,-6879,159,183,6921,167,7611,169,7149,-7184,104,-6946,207,120,6285,-6882,74,592,7487,-7232,317,-7803,358,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
5,-6879,159,-7141,182,-7734,85,77,7149,-7184,187,-6946,164,-7781,112,113,6357,-7184,-62,229,6757,69,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
6,-6879,159,-7141,182,-7734,85,77,7149,188,6383,-6946,7,119,6285,-130,6357,809,7487,89,6757,-7803,-51,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
7,160,6285,162,6921,-7734,195,-6627,155,-7184,146,450,6743,93,6285,-6882,473,128,7487,-7232,662,-7803,502,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
8,160,6285,162,6921,-7734,195,156,7149,183,6383,-6946,157,-106,6285,-6882,153,99,7487,199,6757,939,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
9,-6879,159,-7141,182,86,7611,-6627,173,-7184,113,2,6743,148,6285,32,6357,-11,7487,-7232,-277,393,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
10,-6879,159,183,6921,167,7611,-6627,168,187,6383,277,6743,317,6285,-6882,176,518,7487,-7232,63,-7803,-651,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
11,-6879,159,183,6921,-7734,166,135,7149,-7184,98,-6946,193,53,6285,-6882,108,237,7487,782,6757,-431,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
12,160,6285,162,6921,-7734,195,156,7149,-7184,182,-6946,194,-7781,103,-6882,136,-7184,358,-7232,924,-7803,-1031,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
13,160,6285,-7141,161,-7734,152,126,7149,-7184,196,158,6743,-7781,35,126,6357,-24,7487,-227,6757,-7803,107,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
14,160,6285,162,6921,-7734,195,-6627,155,-7184,146,450,6743,-7781,92,-6882,-18,-7184,158,-7232,-58,-7803,-27,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
15,-6879,159,183,6921,-7734,166,-6627,134,-7184,184,-6946,61,-14,6285,196,6357,397,7487,-856,6757,404,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
16,160,6285,162,6921,196,7611,168,7149,-7184,216,-6946,136,205,6285,63,6357,398,7487,-7232,135,-7803,754,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
17,160,6285,162,6921,-7734,195,-6627,155,147,6383,-6946,124,33,6285,-6882,586,242,7487,-7232,186,-7803,782,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
18,160,6285,162,6921,-7734,195,-6627,155,-7184,146,-6946,449,174,6285,372,6357,344,7487,360,6757,-7803,446,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
19,-6879,159,183,6921,167,7611,-6627,168,187,6383,277,6743,-7781,316,-2,6357,-7184,331,-7232,65,-7803,74,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
20,160,6285,-7141,161,-7734,152,126,7149,197,6383,-6946,347,40,6285,164,6357,-8,7487,-7232,693,-28,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
21,-6879,159,183,6921,167,7611,-6627,168,-7184,186,132,6743,-7781,213,-6882,454,-7184,-349,-7232,-767,-7803,-744,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
22,160,6285,162,6921,196,7611,168,7149,217,6383,-6946,152,82,6285,422,6357,607,7487,165,6757,6,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
