,A0_min,A0_max,A1_min,A1_max,A2_min,A2_max,A3_min,A3_max,A4_min,A4_max,A5_min,A5_max,A6_min,A6_max,A7_min,A7_max,A8_min,A8_max,A9_min,A9_max,A10_min,A10_max,A11_min,A11_max,A12_min,A12_max,A13_min,A13_max,A14_min,A14_max,A15_min,A15_max,A16_min,A16_max,A17_min,A17_max,A18_min,A18_max,A19_min,A19_max,class
0,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
1,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
2,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
3,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
4,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
5,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
6,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
7,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
8,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
9,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
10,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
11,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
12,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
13,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
14,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,0
15,-6879,6285,-7141,6921,-7734,7611,-6627,7149,-7184,6383,-6946,6743,-7781,6285,-6882,6357,-7184,7487,-7232,6757,-7803,7208,-7395,6791,-7096,6403,-7472,7261,-7342,7372,-7121,6905,-7163,7175,-8778,6896,-7554,5726,-6722,7627,1
